Source Title (Medline-sourced journals are indicated in Green),Print-ISSN,E-ISSN,Publisher imprints grouped to main Publisher
Zavodskaya Laboratroiya. Diagnostika Materialov,10286861,,Ministerstvo ernoj metallurgii SSSR
Zborknik Radova Pomorskog Fakulteta,13300938,,Hrvatska Akademija Znanosti i Umjetnosti
Zbornik - Pravnog Fakulteta u Zagrebu,03502058,,Pravni Fakultet
Zbornik Instituta za Pedagoska Istrazivanja,05796431,,Institut za Pedagoska Istrazivanja
Zbornik Radova Ekonomskog Fakultet au Rijeci,13318004 ,18467520 ,Urednistvo Casopisa
Zbornik za Umetnostno Zgodovino,0351224X ,,Slovene Art History Society
Zbornik. Vojnomedicinska akademija (Yugoslavia),05133696,,Vojnomedicinska Akademija
ZDM - International Journal on Mathematics Education,18639690 ,18639704 ,Springer
Zdravookhranenie Kirgizii,01328867,,Izd-Vo Ala-Too
Zdravstveni Vestnik,03500063 ,,Slovene Medical Association
Zdravstveno Varstvo,03510026 ,,Univerzitetni Zavod Za Zdravstveno In Socialno Varstvo
Zebrafish,15458547,,Mary Ann Liebert
Zeitgeschichte,02565250,,Geyer Edition
"Zeitschfrift für Geomorphologie, Supplementband",00442798,,Gebruder Borntraeger Verlagsbuchhandlung
Zeitschfrift für Kristallographie,00442968,,R. Oldenbourg
Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften,18601804 ,,Schweizerbartsche Verlagsbuchhandlung
Zeitschrift der Deutschen Morgenlandischen Gesellschaft,03410137 ,,Kommissionsverlag F. Steiner
Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte,03234096 ,,Bohlau Verlag
"Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Germanistische Abteilung",03234045 ,,Bohlau Verlag
"Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Kanonistische Abteilung",03234142 ,,Bohlau Verlag
Zeitschrift des Deutschen Palastina-Vereins,00121169 ,,Harrassowitz Verlag
Zeitschrift des Deutschen Vereins fur Kunstwissenschaft,00442135 ,,Deutscher Verlag fur Kunstwiss
Zeitschrift fuer Eisenbahnwesen und Verkehrstechnik - Glasers Annalen,09410589,,Georg Siemens Verlagsbuchhandlung
Zeitschrift fuer Metallkunde/Materials Research and Advanced Techniques,00443093,,Hanser Publishers
"Zeitschrift fuer Operations-Research, Serie B: Praxis",03409422,,Physica-Verlag Gmbh und Co.
Zeitschrift fuer Werkstofftechnik/Materials Technology and Testing,00498688,,Wiley-Blackwell
Zeitschrift fur Agyptische Sprache und Altertumskunde,0044216X ,,Akademie Verlag
Zeitschrift für Allgemeine Mikrobiologie,00442208,,Akademie Verlag
Zeitschrift für Allgemeinmedizin,03008673,,Hippokrates Verlag
Zeitschrift für Analysis und ihre Anwendung,02322064,,Heldermann Verlag
Zeitschrift für Anatomie und Entwicklungsgeschichte,00442232,,Springer
Zeitschrift für Angewandte Geologie,00442259,,E. Schweizerbart'sche Verlagsbuchhandlung
Zeitschrift für Angewandte Mathematik und Physik,00442275,14209039,Springer
Zeitschrift für Angewandte Physik,00442283,,Springer
Zeitschrift fur Anglistik und Amerikanistik,00442305 ,,VEB Verlag Enzyklopadie
Zeitschrift für Anorganische und Allgemeine Chemie,00442313,15213749,Wiley-Blackwell
Zeitschrift fur Antikes Christentum,09499571 ,,Walter de Gruyter
Zeitschrift für Arbeits- und Organisationspsychologie,09324089,,"Hogrefe-Verlag GmbH und Co., KG"
Zeitschrift fur Archaologie des Mittelalters,03400824 ,,Rheinland-Verlag
Zeitschrift fur Arznei- und Gewurzpflanzen,14319292 ,,Agrimedia
Zeitschrift für Arztliche Fortbildung,00442178,,Gustav Fischer Verlag
Zeitschrift für Arztliche Fortbildung und Qualitatssicherung,14317621,,Elsevier
Zeitschrift fur Assyriologie und Vorderasiastische Archaeologie,00845299 ,16131150 ,Walter de Gruyter
Zeitschrift für Bibliothekswesen und Bibliographie,00442380,,Vittorio Klostermann
Zeitschrift fur Celtische Philologie,00845302 ,1865889X ,Walter de Gruyter
Zeitschrift für Chemie,00442402,,Deutscher Verlag fur Grundstoffindustrie
Zeitschrift für Chemie und Industrie der Kolloide,0372820X,,Springer
Zeitschrift für Dermatologie,09498346,,Jurgen Hartmann Verlag
Zeitschrift für Dermatologie und deren Grenzgebiete,09464115,,Johann Ambrosius Barth
Zeitschrift fur Deutsche Philologie,00442496,,Erich Schmidt Verlag GmbH & Co.
Zeitschrift fur Deutsches Altertum und Deutsche Literatur,00442518 ,,Weidmannsche Buchhandlung
Zeitschrift für Dialektologie und Linguistik,00441449,,Franz Steiner Verlag Stuttgart GmbH
Zeitschrift fur die Alttestamentliche Wissenschaft,00442526 ,16130103 ,Walter de Gruyter
Zeitschrift für Die Gesamte Experimentelle Medizin,03728722 ,,Springer
Zeitschrift für die gesamte experimentelle Medizin einschliesslich experimentelle Chirurgie,00442534,,Springer
Zeitschrift für die gesamte Neurologie und Psychiatrie,03034194 ,,Springer
Zeitschrift für die gesamte Versicherungswissenschaft,00442585 ,18659748 ,Springer
Zeitschrift fur die Neutestamentliche Wissenschaft und die Kunde der Alteren Kirche,00442615 ,1613009X ,Walter de Gruyter
Zeitschrift für die Zuckerindustrie ,00442623,,Bartens
Zeitschrift für Differentielle und Diagnostische Psychologie,01701789 ,,Hans Huber AG
Zeitschrift für Entwicklungspsychologie und Padagogische Psychologie,00498637,,"Hogrefe-Verlag GmbH und Co., KG"
Zeitschrift für Epileptologie,16176782,16100646,Dietrich Steinkopff Verlag
Zeitschrift für Erkrankungen der Atmungsorgane,0303657X,,Johann Ambrosius Barth
Zeitschrift für Erkrankungen der Atmungsorgane mit Folia bronchologica,00442631,,Johann Ambrosius Barth
Zeitschrift für Ernahrungswissenschaft,0044264X,,Dietrich Steinkopff Verlag
Zeitschrift fur Erziehungswissenschaft,1434663X ,18625215 ,Springer
Zeitschrift für Ethnologie,00442666,,Deutschen Gesellschaft Fur Volkerkund
Zeitschrift für Evaluation,16195515 ,,Waxmann Verlag GMBH
Zeitschrift fur Evangelische Ethik,00442674 ,,Gutersloher Verlagshaus Mohn
"Zeitschrift für Evidenz, Fortbildung und Qualitat im Gesundheitswesen",18659217,,Elsevier
Zeitschrift für Experimentelle Chirurgie,03235580,,Berlin Verlag Volk Und Gesundheit
Zeitschrift für Experimentelle Chirurgie Transplantation und Kunstliche Organe,02327295,,VEB Verlag Volk und Gesundheit
Zeitschrift für Experimentelle Pathologie und Therapie,03728552 ,,Springer
Zeitschrift für experimentelle Psychologie : Organ der Deutschen Gesellschaft für Psychologie,09493964,,Hogrefe & Huber Publishers
Zeitschrift für Experimentelle und Angewandte Psychologie,00442712,,Gottingen Dr C J Hogrefe
Zeitschrift für Familienforschung,14372940,,Barbara Budrich Verlag
Zeitschrift für Feldherpetologie,09467998,,Laurenti
Zeitschrift für Flugwissenschaften und Weltraumforschung,0342068X,,Deutsche Gesellschaft fuer Luft and Raumfahrt Lilienthat-Oberth e.V
Zeitschrift fur Franzosische Sprache und Literatur,00442747 ,,Franz Steiner Verlag Stuttgart GmbH
Zeitschrift für Gastroenterologie,00442771,14397803,Thieme
Zeitschrift für Geburtshilfe und Gynakologie,0044278X ,,Enke
Zeitschrift für Geburtshilfe und Neonatologie,09482393,14391651,Thieme
Zeitschrift für Geburtshilfe und Perinatologie,0300967X,,Thieme
Zeitschrift für Gefassmedizin,18129501,,Krause & Pachernegg GmbH
Zeitschrift fur Geologische Wissenschaften,03034534 ,,Akademie Verlag
Zeitschrift für Geomorphologie,03728854,,Gebruder Borntraeger Verlagsbuchhandlung
Zeitschrift fur Germanistik,03237982 ,,Peter Lang AG
Zeitschrift für Germanistische Linguistik,03013294,,Walter de Gruyter
Zeitschrift für Gerontologie,0044281X,,Dietrich Steinkopff Verlag
Zeitschrift für Gerontologie und Geriatrie : Organ der Deutschen Gesellschaft für Gerontologie und Geriatrie,09486704,14351269,Dietrich Steinkopff Verlag
Zeitschrift für Gerontopsychologie und -psychiatrie,10116877,,Hans Huber AG
Zeitschrift fur Geschichtswissenschaft,00442828 ,,Deutscher Verlag der Wissenschaften
Zeitschrift fur Gesundheitspsychologie,09438149,,"Hogrefe-Verlag GmbH und Co., KG"
Zeitschrift für Gesundheitswissenschaften,09431853,,Juventa Verlag GmbH
Zeitschrift für Haut- und Geschlechtskrankheiten,00442844,,Grosse Verlag GmbH
"Zeitschrift für Herz-, Thorax- und Gefasschirurgie",09309225,14351277,Dietrich Steinkopff Verlag
Zeitschrift fur Historische Forschung,03400174 ,,Duncker und Humblot GmbH
Zeitschrift für Hygiene,,,Springer
"Zeitschrift für Hygiene und Infektionskrankheiten; medizinische Mikrobiologie, Immunologie und Virologie",03401782 ,,Springer
Zeitschrift für Immunitats- und Allergieforschung,03729001 ,,Gustav Fischer Verlag
Zeitschrift für Immunitatsforschung,0340904X,,Stuttgart Fischer
Zeitschrift für Immunitätsforschung und experimentelle Therapie,03729052 ,,Stuttgart Fischer
"Zeitschrift für Immunitatsforschung, Allergie und klinische Immunologie",00442879,,Gustav Fischer Verlag
"Zeitschrift für Immunitatsforschung, experimentelle und klinische Immunologie",0300872X,,Gustav Fischer Verlag
Zeitschrift für Induktive Abstammungs- und Vererbungslehre,0372901X,,Springer
Zeitschrift für Jagdwissenschaft,00442887,14390574,Springer
Zeitschrift für Kardiologie,03005860,14351285,Dietrich Steinkopff Verlag
Zeitschrift für Kardiovaskulare Medizin,14334259,,E B M Erdmann-Brenger GmbH
Zeitschrift fur Katalanistik,09322221 ,16147650 ,Albert-Ludwigs-Universitat
Zeitschrift für Kinder- und Jugendpsychiatrie,03016811,,Hans Huber AG
Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie,14224917,,Hans Huber AG
"Zeitschrift für Kinderchirurgie : organ der Deutschen, der Schweizerischen und der Osterreichischen Gesellschaft für Kinderchirurgie = Surgery in infancy and childhood",01743082,,Hippokrates Verlag
Zeitschrift für Kinderchirurgie und Grenzgebiete,00442909,,Hippokrates Verlag
Zeitschrift für Kinderheilkunde,00442917,,Springer
Zeitschrift für Kinderpsychiatrie. Revue de psychiatrie infantile,03728447 ,,Schwabe and Co. AG
Zeitschrift fur Kirchengeschichte,00442925 ,,W. Kohlhammer GmbH
Zeitschrift für klinische Chemie und klinische Biochemie,00442933,,Walter de Gruyter
Zeitschrift fur klinische Medizin,03729192 ,,Springer
Zeitschrift für Klinische Medizin,02331608,,VEB Verlag Volk und Gesundheit
Zeitschrift für Klinische Psychologie,00845345,,"Hogrefe-Verlag GmbH und Co., KG"
Zeitschrift für Klinische Psychologie und Psychotherapie,16163443,,"Hogrefe-Verlag GmbH und Co., KG"
Zeitschrift für Klinische Psychologie und Psychotherapie,0300869X,,Verlag Ferdinand Schoeningh GmbH
"Zeitschrift für Klinische Psychologie, Psychiatrie und Psychotherapie",14318172,,Verlag Ferdinand Schoeningh GmbH
"Zeitschrift für Klinische Psychologie, Psychopathologie und Psychotherapie",07236557,,Verlag Ferdinand Schoeningh GmbH
Zeitschrift für Krankenpflege. Revue suisse des infirmieres,00442941,,Bern Schweizer Berufsverband Der Krankenschwestern Und Krankenpfleger
Zeitschrift für Krebsforschung,03011585,,Springer
Zeitschrift für Krebsforschung und Klinische Onkologie,00845353,,Springer
Zeitschrift für Kreislaufforschung,0044295X,,Dietrich Steinkopff Verlag
Zeitschrift für Kristallographie - New Crystal Structures,14337266,,Oldenbourg Wissenschaftsverlag GmbH
"Zeitschrift für Kristallographie, Supplement",0930486X,,R. Oldenbourg
Zeitschrift für Kulturtechnik und Flurbereinigung ,00442984,,Wiley-Blackwell
Zeitschrift für Kulturtechnik und Landentwicklung,0934666X,,Wiley-Blackwell
Zeitschrift für Kunstgeschichte,00442992 ,,Deutscher Kunstverlag
Zeitschrift für Larmbekampfung,01741098,,Springer
Zeitschrift für Lebensmittel-Untersuchung und -Forschung,00443026,,Springer
Zeitschrift für Lymphologie. Journal of lymphology,03438554,,Stuttgart Schattauer
Zeitschrift für Management,18614264,,Springer
Zeitschrift für medizinische Isotopenforschung und deren Grenzgebiete,05142687 ,,F. K. Schattauer Verlag
Zeitschrift für medizinische Mikrobiologie und Immunologie,00443077,,Springer
Zeitschrift für Medizinische Physik,09393889,,Elsevier
Zeitschrift fur Medizinische Psychologie,09405569 ,,
Zeitschrift für menschliche Vererbungs- und Konstitutionslehre,03755320 ,,Springer
Zeitschrift für Morphologie der Tiere,00443131 ,,Springer
Zeitschrift für Morphologie und Anthropologie,0044314X,,E. Schweizerbart'sche Verlagsbuchhandlung
Zeitschrift für Morphologie und Ökologie der Tiere,03729389 ,,Springer
Zeitschrift für Naturforschung,03729516,,Verlag der Zeitschrift fur Naturforschung
Zeitschrift für Naturforschung - Section A Journal of Physical Sciences,09320784,,Verlag der Zeitschrift fur Naturforschung
Zeitschrift für Naturforschung - Section B Journal of Chemical Sciences,09320776,,Verlag der Zeitschrift fur Naturforschung
Zeitschrift für Naturforschung - Section C Journal of Biosciences,09395075,,Verlag der Zeitschrift fur Naturforschung
"Zeitschrift für Naturforschung - Teil A Physik, Physikalische Chemie, Kosmophysik",03404811,,Verlag der Zeitschrift fur Naturforschung
Zeitschrift für Naturforschung. Section C: Biosciences,03410382,,Verlag der Zeitschrift fur Naturforschung
"Zeitschrift für Naturforschung. Teil B: Chemie, Biochemie, Biophysik, Biologie",00443174,,Verlag der Zeitschrift fur Naturforschung
"Zeitschrift für Naturforschung. Teil C: Biochemie, Biophysik, Biologie, Virologie",03410471,,Tubingen Verlag Der Zeitschrift Fuer Naturforschung
Zeitschrift für Neuere Rechtsgeschichte,02506459,,Manz Verlag
Zeitschrift für Neurologie,00121037,,Springer
Zeitschrift fur Neuropsychologie,1016264X ,,H. Huber
Zeitschrift für öffentliches Recht,09484396,,Springer
Zeitschrift für Okologie und Naturschutz,09405178,,Elsevier
Zeitschrift für Onkologie,16175891,14390930,Karl F. Haug Verlag in MVS Medizinverlage Stuttgart GmbH & Co. KG
Zeitschrift für Operations Research Series A,03409422,,Physica-Verlag Gmbh und Co.
Zeitschrift für Orthopadie und Ihre Grenzgebiete,00443220,1438941X,Thieme
Zeitschrift für Orthopädie und Unfallchirurgie,18646697,,Thieme
Zeitschrift für Padagogik,00443247,,Julius Beltz GmbH & Co. KG
Zeitschrift für Padagogik (Beiheft),05142717,,Julius Beltz GmbH & Co. KG
Zeitschrift für Padagogische Psychologie,10100652,,Hans Huber AG
Zeitschrift fur Papyrologie und Epigraphik,00845388 ,,Habelt
Zeitschrift für Parasitenkunde,00443255,,Springer
Zeitschrift für Personalforschung,01796437,,Hampp
Zeitschrift für Personalpsychologie,16176391,,"Hogrefe-Verlag GmbH und Co., KG"
Zeitschrift für Pflanzenernahrung und Bodenkunde,00443263,,Wiley-Blackwell
Zeitschrift für Pflanzenkrankheiten und Pflanzenschutz,03408159,,Verlag Eugen Ulmer GmbH
Zeitschrift für Pflanzenphysiologie,0044328X,,Gustav Fischer Verlag
Zeitschrift fur Philosophische Forschung,00443301 ,,Vittorio Klostermann
Zeitschrift für Physik,00443328 ,,Der Gesellschaft
Zeitschrift für Physik B-Condensed Matter,07223277,,Springer
Zeitschrift für Physik C-Particles and Fields,01709739,,Springer
Zeitschrift für Physik D-Atoms Molecules and Clusters,01787683,,Springer
Zeitschrift für Physikalische Chemie,09429352,,Oldenbourg Wissenschaftsverlag GmbH
Zeitschrift für Physiotherapie,00039357,,Thieme
Zeitschrift für Phytotherapie : offizielles Organ der Ges. f. Phytotherapie e.V,0722348X,,Hippokrates Verlag
Zeitschrift für Planung und Unternehmenssteuerung,16138392,16139267,Springer
